[1/1319] pred=6 | gold=18 | X
[2/1319] pred=1.5 | gold=3 | X
[3/1319] pred=115000 | gold=70000 | X
[4/1319] pred=1620 | gold=540 | X
[5/1319] pred=2 | gold=20 | X
[6/1319] pred=5 | gold=64 | X
[7/1319] pred=2 | gold=260 | X
[8/1319] pred=4 | gold=160 | X
[9/1319] pred=0 | gold=45 | X
[10/1319] pred=0.55 | gold=460 | X
[11/1319] pred=390 | gold=366 | X
[12/1319] pred=117 | gold=694 | X
[13/1319] pred=7 | gold=13 | X
[14/1319] pred=4 | gold=18 | X
[15/1319] pred=25 | gold=60 | X
[16/1319] pred=1.3 | gold=125 | X
[17/1319] pred=230 | gold=230 | O
[18/1319] pred=2950 | gold=57500 | X
[19/1319] pred=12 | gold=7 | X
[20/1319] pred=1 | gold=6 | X
[21/1319] pred=0 | gold=15 | X
[22/1319] pred=14 | gold=14 | O
[23/1319] pred=3 | gold=7 | X
[24/1319] pred=2 | gold=8 | X
[25/1319] pred=18.5 | gold=26 | X
[26/1319] pred=67 | gold=2 | X
[27/1319] pred=80.50 | gold=243 | X
[28/1319] pred=15.3333333333333 | gold=16 | X
[29/1319] pred=140 | gold=25 | X
[30/1319] pred=4 | gold=104 | X
[31/1319] pred=120 | gold=109 | X
[32/1319] pred=205 | gold=80 | X
[33/1319] pred=35 | gold=35 | O
[34/1319] pred=60 | gold=70 | X
[35/1319] pred=0 | gold=23 | X
[36/1319] pred=25 | gold=9 | X
[37/1319] pred=300 | gold=75 | X
[38/1319] pred=35 | gold=2 | X
[39/1319] pred=90 | gold=10 | X
[40/1319] pred=4 | gold=18 | X
[41/1319] pred=6 | gold=8 | X
[42/1319] pred=1200 | gold=200 | X
[43/1319] pred=26 | gold=26 | O
[44/1319] pred=7200 | gold=48 | X
[45/1319] pred=10.00 | gold=20 | X
[46/1319] pred=30 | gold=104 | X
[47/1319] pred=127 | gold=163 | X
[48/1319] pred=560 | gold=800 | X
[49/1319] pred=6 | gold=8 | X
[50/1319] pred=30 | gold=30 | O
[51/1319] pred=504 | gold=294 | X
[52/1319] pred=64 | gold=5 | X
[53/1319] pred=30 | gold=15 | X
[54/1319] pred=200 | gold=40 | X
[55/1319] pred=45 | gold=40 | X
[56/1319] pred=14 | gold=14 | O
[57/1319] pred=6 | gold=3 | X
[58/1319] pred=125 | gold=83 | X
[59/1319] pred=47.8 | gold=57 | X
[60/1319] pred=1267 | gold=187 | X
[61/1319] pred=23 | gold=17 | X
[62/1319] pred=1380 | gold=1430 | X
[63/1319] pred=30 | gold=25000 | X
[64/1319] pred=77 | gold=1596 | X
[65/1319] pred=25 | gold=300 | X
[66/1319] pred=20 | gold=36 | X
[67/1319] pred=24 | gold=48 | X
[68/1319] pred=280 | gold=595 | X
[69/1319] pred=16.25 | gold=36 | X
[70/1319] pred=80 | gold=60 | X
[71/1319] pred=195 | gold=7425 | X
[72/1319] pred=40 | gold=60 | X
[73/1319] pred=224 | gold=221 | X
[74/1319] pred=2295 | gold=255 | X
[75/1319] pred=83.75 | gold=88 | X
[76/1319] pred=4 | gold=60 | X
[77/1319] pred=0.6 | gold=5 | X
[78/1319] pred=400 | gold=100 | X
[79/1319] pred=1 | gold=6 | X
[80/1319] pred=70 | gold=70 | O
[81/1319] pred=14 | gold=10 | X
[82/1319] pred=17 | gold=17 | O
[83/1319] pred=248 | gold=623 | X
[84/1319] pred=600 | gold=600 | O
[85/1319] pred=14 | gold=15 | X
[86/1319] pred=228 | gold=44 | X
[87/1319] pred=5 | gold=22 | X
[88/1319] pred=726 | gold=9360 | X
[89/1319] pred=0 | gold=8000 | X
[90/1319] pred=64 | gold=24 | X
[91/1319] pred=2000 | gold=225 | X
[92/1319] pred=13 | gold=28 | X
[93/1319] pred=9 | gold=4 | X
[94/1319] pred=56 | gold=36 | X
[95/1319] pred=240 | gold=348 | X
[96/1319] pred=40 | gold=40 | O
[97/1319] pred=9 | gold=3 | X
[98/1319] pred=96 | gold=12 | X
[99/1319] pred=15 | gold=5 | X
[100/1319] pred=1 | gold=58 | X
[101/1319] pred=285 | gold=175 | X
[102/1319] pred=39 | gold=6 | X
[103/1319] pred=15 | gold=26 | X
[104/1319] pred=140 | gold=140 | O
[105/1319] pred=317 | gold=500 | X
[106/1319] pred=20 | gold=20 | O
[107/1319] pred=360 | gold=72 | X
[108/1319] pred=70 | gold=3 | X
[109/1319] pred=110 | gold=50 | X
[110/1319] pred=10 | gold=28 | X
[111/1319] pred=45 | gold=45 | O
[112/1319] pred=12.5 | gold=16 | X
[113/1319] pred=24 | gold=24 | O
[114/1319] pred=60 | gold=25 | X
[115/1319] pred=900 | gold=6 | X
[116/1319] pred=950 | gold=90 | X
[117/1319] pred=9 | gold=42 | X
[118/1319] pred=180 | gold=360 | X
[119/1319] pred=5 | gold=4 | X
[120/1319] pred=4 | gold=95200 | X
[121/1319] pred=240 | gold=240 | O
[122/1319] pred=22 | gold=27 | X
[123/1319] pred=8 | gold=48 | X
[124/1319] pred=35 | gold=50 | X
[125/1319] pred=40 | gold=10 | X
[126/1319] pred=23 | gold=10 | X
[127/1319] pred=25 | gold=82 | X
[128/1319] pred=120 | gold=120 | O
[129/1319] pred=75 | gold=880 | X
[130/1319] pred=0.87 | gold=10000 | X
[131/1319] pred=40 | gold=30 | X
[132/1319] pred=820 | gold=940 | X
[133/1319] pred=72 | gold=60 | X
[134/1319] pred=9 | gold=13 | X
[135/1319] pred=720 | gold=720 | O
[136/1319] pred=45 | gold=40 | X
[137/1319] pred=4.5 | gold=6 | X
[138/1319] pred=26.6 | gold=29 | X
[139/1319] pred=30 | gold=105 | X
[140/1319] pred=108 | gold=70 | X
[141/1319] pred=0.4 | gold=20 | X
[142/1319] pred=43 | gold=400 | X
[143/1319] pred=140 | gold=140 | O
[144/1319] pred=14 | gold=16 | X
[145/1319] pred=18 | gold=20 | X
[146/1319] pred=133 | gold=4000 | X
[147/1319] pred=1500 | gold=2125 | X
[148/1319] pred=2 | gold=75 | X
[149/1319] pred=2 | gold=30 | X
[150/1319] pred=12 | gold=16 | X
[151/1319] pred=1 | gold=4 | X
[152/1319] pred=225 | gold=5 | X
[153/1319] pred=50 | gold=4 | X
[154/1319] pred=1 | gold=48 | X
[155/1319] pred=15 | gold=272 | X
[156/1319] pred=1920 | gold=280 | X
[157/1319] pred=700 | gold=1400 | X
[158/1319] pred=49 | gold=80 | X
[159/1319] pred=34 | gold=34 | O
[160/1319] pred=5 | gold=15 | X
[161/1319] pred=8 | gold=16 | X
[162/1319] pred=26 | gold=32 | X
[163/1319] pred=200 | gold=92 | X
[164/1319] pred=52 | gold=50 | X
[165/1319] pred=0 | gold=15 | X
[166/1319] pred=410 | gold=77 | X
[167/1319] pred=30 | gold=5 | X
[168/1319] pred=2 | gold=16 | X
[169/1319] pred=12 | gold=18 | X
[170/1319] pred=150 | gold=120 | X
[171/1319] pred=75 | gold=150 | X
[172/1319] pred=1470 | gold=1210 | X
[173/1319] pred=3 | gold=51 | X
[174/1319] pred=1000 | gold=18000 | X
